crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,1997,Whole Year ,Assam,11.209317241968188,10.945688207278275,2051.4,15.764968602929914,22882.34,0.796086957
Arhar/Tur,1997,Kharif     ,Assam,8.80056599227992,8.452334619067742,2051.4,13.356081682400971,2057.47,0.710434783
Castor seed,1997,Kharif     ,Assam,6.680854678790215,3.1354942159291497,2051.4,11.235277152234566,246.76,0.238333333
Coconut ,1997,Whole Year ,Assam,9.8861887879578,18.658949340891553,2051.4,14.441803214855376,6093.36,5238.051739
Cotton(lint),1997,Kharif     ,Assam,7.461640392208575,6.678342114654332,2051.4,12.016736322693353,539.09,0.420909091
Dry chillies,1997,Whole Year ,Assam,9.516942329280475,9.113168460223909,2051.4,14.07253427165875,4211.97,0.643636364
Gram,1997,Rabi       ,Assam,7.9996785794994505,7.318539548567902,2051.4,12.555011245985966,923.49,0.465454545
Jute,1997,Kharif     ,Assam,11.456577311016355,13.714690828426322,2051.4,16.012231608552174,29301.2,9.919565217
Linseed,1997,Rabi       ,Assam,9.220191688026556,8.54849804124465,2051.4,13.77575847005643,3130.38,0.461363636
Maize,1997,Kharif     ,Assam,9.863550582932428,9.59709825261865,2051.4,14.419163857214487,5956.96,0.615652174
Mesta,1997,Kharif     ,Assam,8.68541582383069,10.275189030491484,2051.4,13.240913318913229,1833.65,4.568947368
Niger seed,1997,Whole Year ,Assam,9.201804040953895,8.532475814947395,2051.4,13.757369004530345,3073.34,0.482352941
Onion,1997,Whole Year ,Assam,8.96610085736724,9.795011076200044,2051.4,13.52163929190668,2427.92,2.342608696
Other  Rabi pulses,1997,Rabi       ,Assam,11.592641965597878,10.972894143280692,2051.4,16.148297594883598,33572.07,0.520869565
Potato,1997,Whole Year ,Assam,11.228704064147427,13.417823125171918,2051.4,15.784355682490624,23330.29,7.561304348
Rapeseed &Mustard,1997,Rabi       ,Assam,12.540016688962552,11.949714806320419,2051.4,17.0956779121931,86580.52,0.554782609
Rice,1997,Autumn     ,Assam,13.316875328492321,12.894990896760083,2051.4,17.8725384654029,188280.98,0.780869565
Rice,1997,Summer     ,Assam,12.07239838555774,12.253070728690757,2051.4,16.628057496575355,54241.94,1.060434783
Rice,1997,Winter     ,Assam,14.371303046395841,14.314646320771514,2051.4,18.92696724507055,540429.51,0.941304348
Sesamum,1997,Whole Year ,Assam,9.665611001619853,9.018937706446035,2051.4,14.221213004572094,4887.15,0.487391304
Small millets,1997,Kharif     ,Assam,9.258273025731485,8.592671652592143,2051.4,13.813843469143576,3251.9,0.473
Sugarcane,1997,Kharif     ,Assam,10.351980221114811,14.068175629271655,2051.4,14.907613392699925,9708.58,41.89695652
